Stimuli,Questions
s2,What years have the highest increase in positive range?
s2,What is the change amount in 2015?
s2,What region is the most impacted by positve anomalies?
s2,What year there was no change?
s2,How many times there was no change between 1980 to 2021?
s2,What is the trend in the last decades in terms of positive anomalies?
s2,Was there any consistant change in negative temperature at any decades or beetween certain years?
s1,Which city is the table depicting?
s1,Is it a big city or small city?
s1,How come does the home decrease at the end of the year?
s1,Why is it decrease between 2020 and 2021?
s1,When did they collect the data? Which period during a year they collect the data?
s1,Was data collected in two different times of evey year?
s1,Was the data collected more often than other years during some years?
s1,How long will this data be collected for?
s1,Where have all houses gone?
s2,"Why did the year start in 1880, not earlier?"
s2,Why the number on y-axis are from -1.8 to 1.8F?
s2,How many blue bars on the graph?
s2,How many red bars on the graph?
s2,Where were this temperature measured?
s2,How were this temperature measured?
s2,What is the overall trend from 1880 between the temperture and global land and ocean temperature?
s2,Why do you think it is increasing?
s2,What was the lowest temperature anomalies?
s2,What was the highest temperature anomalies?
s2,What was the average temperature?
s2,How many years was on the average temperature?
s2,How many years when the temperture is in negative ranges?
s2,How many years when the temperture is in positive ranges?
s2,Does this chart show the differences between the temperature anomalies of land and ocean?
s2,Why does the rate of the temperature increase?
s3,What does GDP stand for?
s3,what is the average life expectancy for somebody living in Africa?
s3,What is the average life expectancy for somebody living in Africa and who has GDP 1000?
s3,What is the average life expectancy for somebody living in Africa who has GDP 5000?
s3,How does Africa range in comparison with other countries as to their life expectancy?
s3,What are the points that separate Africa from a country like Europe?
s3,How much of the range that separates them?
s3,What is the average life expectancy for somebody living in Oceana?
s3,what is the higher end of life expectancy in Oceana?
s3,What is the life expectancy in Africa?
s3,What is the life expectancy in Europe?
s3,Which country have the highest life expectancy?
s3,Which country have the lowest life expectancy?
s3,What is the average life expectancy in South America?
s3,What is the country that has highest life expectancy?
s3,What is the country that has lowest life expectancy?
s3,What is the life expectancy of Asia?
s3,Which country have the highest life expectancy in Asia?
s3,Which country have the lowest life expectancy in Asia?
s3,which country have the highest life expectancy in North America?
s3,which country have the lowest life expectancy in North America?
s3,Where did United States fall in the chart?
s4,How many people in the US are vaccinated in the table?
s4,How many people are vaccinated in Canada?
s4,How many people are vaccinated in Costa Rica?
s4,How many people are vaccinated in England?
s4,How many people are vaccinated in Austrailia?
s4,How many people are vaccinated in Afghanistan?
s4,How many people are vaccinated in Switzerland?
s4,How many people are vaccinated in Chinia?
s4,How many people are vaccinated in Japan?
s4,Does the US score lower or higher than what percent of the country?
s4,Does Canada score lower or higher than what percent of the country?
s4,Which country was the lowest?
s4,Which country was the highest?
s4,How many countries are in average range around 50%?
s4,How much is the average point of the whole country?
s4,when was this data collected?
s2,What is the lowest temperature anomally between between 1880 to 1940?
s2,What is the highest temperature anomally between between 1880 to 1940?
s2,Is weather and water temperature parallel or today different from year to year?
s2,Are weather and the ocean have any correlation? if one goes down the other goes down as well?
s2,Do we see a gradual increase or up and down from time to time?
s2,Do we see any decreasing trend for a short period of time or is it always increasing?
s2,What is the temperature difference between 1944 and 1950? How much decrease?
s2,"Do we know the water temperature, around this time, during the same period?"
s2,What is the temperature of last year 2020?
s2,Is the first year 1880?
s2,What is the anomolies in 1880?
s1,How many homes are building?
s1,Are these houses including both new homes and homes that were sold before?
s1,"In some areas, are demand and supply the same? And is this for the whole US?"
s1,"Do we separate types of homes like single family homes, condos, suburban or urban area?"
s4,What kind of vaccine they used?
s4,What is the range of the people vaccinated? Over 18?
s4,What percentage of people over 18 or under 18 were vaccinated?
s3,Are these regions or different countries on the chart?
s3,What is the life expectancy in the US?
s3,Is there different between genders for male and female?
s3,What is GDP per capita in the US?
s3,Which country has the highest life expectancy?
s3,Does Hong Kong has the highest GDP?
s3,Who has the highest GDP?
s3,What is the life expectancy in the Quatar?
s3,Who has the lowest life expectancy?
s3,What is the GDP of Central Afrian Republic?
s3,Does that have the lowest GDP per capita?
s3,Can we know the details like access to health care or urban versus rural population?
s3,Why were these colors chosen to represent these countries?
s3,What does GDP stand for?
s3,Why are we comparing domestic product with life expectancy?
s3,What does this study represent?
s3,Why is this study comparing life expectancy to gross domestic product?
s3,Is it true that the longer a person lives the more money he makes over the lifetime?
s3,What does medium to upper range mean?
s3,Is Australia in the upper range?
s3,Is Iraq in the lower range?
s3,Is per capita a measurement of one year?
s3,What is represented by the X axis?
s3,What is the y axis represent?
s3,What is the correlation?
s3,"Does this mean that the longer someone lives, the more money, they will acquire over their life expectancy?"
s3,What is the title of this graph?
s3,What is the definition of per capita?
s4,What is the title of this graph
s4,"If the United States has a range between 80 and 100% Vaccination, what is the vaccination average for Texas?"
s4,What is the average vaccination of Brazil?
s4,what is the average vaccination of the State of Texas in the United States?
s4,What is the vaccinations average for Texas?
s4,How many people have been vaccinated in Nigeria?
s4,Is there anybody vaccinated in Alaska?
s4,What is the population of Antarctica?
s4,What is the population of Australia?
s4,How many people have been vaccinated in Australia?
s4,What color is represented by this value?
s4,What is the number of people populated in the Philippines?
s4,Is there anybody that has been vaccinated in Mali?
s4,What color represents this rate?
s4,How do you know the difference between dark green and light green?
s4,What countries are represented by green?
s4,How many countries have a vaccination of 50%?
s4,How many countries have vaccination under 50%?
s4,Which country has the fewest vaccinations?
s4,Are there any vaccinations on a continent not represented on this chart like Antartica?
s2,What part of the globe do these numbers represent?
s2,"Geographically, where is this graph representing?"
s2,Where is the temperature anomaly taking place?
s2,What geographic region is the warmest?
s2,What geographic region is the coldest?
s2,Is this representative of Antartica?
s2,Is this anomalies representative of global warming?
s2,Is the temperature getting warmer between the years of 1969 and 2002
s2,Are the ocean level rising?
s2,Are polar bears killed in the data collections of this graph?
s2,Is the temperature getting colder between 1902 and 1957?
s2,What was the temperature in 1957?
s2,Can you calculate 1.32 degrees Fahrenheit to Celsius?
s2,What is represented on the y axis?
s2,What is represented on the x axis?
s2,"What data point is found at (2,7)?"
s1,What was the third most expensive house sold in 2020?
s1,What was the average price per home between 2015 and 2018?
s1,How much do I have to earn annually to afford a House that is on the market in 2019?
s1,What is the least expensive house in 2019?
s1,What is the title of this chart?
s1,What is represented by the y axis?
s1,How many homes are for sale in January of 2016?
s1,What was the least expensive home so for in 2021?
s1,How many houses were sold in 2017?
s1,What is represented by the X axis?
s1,How many homes were sold between January of 2017 and march of 2012?
s1,In what year were the fewest houses sold?
s1,How many houses were sold in November of 2015?
s1,How many houses were sold on my birthday last year?
s1,How many houses were sold on my birthday December 21 2020 last year?
s1,will you give me a house for my birthday this year?
s1,How many of these houses were accessibly built for people in wheelchairs?
s4,What parts of North America are not in the 80 to 100% range?
s4,What countries in North America have less than 80% vaccination rate?
s4,what's the vaccination rate of Mexico?
s4,what's the average vaccination rate in Europe?
s4,Which countries in Africa have more than 20% vaccination?
s4,What country has the highest vaccination rate in Africa?
s4,What country has the lowest vaccination rate in Africa?
s4,What country has the highest vaccination rate in the world?
s4,What country has the lowest vaccination rate the world?
s4,How many countries in South America are in the zero to 20% vaccination range?
s4,What continent has the highest vaccination rate?
s4,What is the average vaccination rate for countries in the world?
s4,How many countries are in the zero to 20% vaccination range?
s4,Can you list those 66 countries?
s4,How many countries in Europe are in the 80 to 100% range?
s1,How many homes were for sale in June of 2019?
s1,How many homes were on sale in 2019?
s1,"On average, which month of the year, has the least homes for sale?"
s1,What is the average number of homes on sale in January?
s1,What's the percentage decrease of homes for sale from 2020 to 2021?
s1,"In which month were there more homes for sale, June 2015 or July 2015?"
s1,What month during this period had the most homes for sale?
s1,How many homes were for sale in the second week of June?
s1,How many how many homes were for sale on June 12 2017?
s3,What is the ratio of life expectancy to GDP per capita in Germany?
s3,What country is the lowest ratio of life expectancy to GDP per capita?
s3,What's the average life expectancy in Asia?
s3,What's the average GDP per capita in South America?
s3,What country has the highest life expectancy in the world?
s3,What country has the highest life expectancy in Europe?
s3,What country has the highest GDP per capita in West Africa?
s3,What Country is the highest GDP per capita in Central America?
s3,What is the total population of countries in North America?
s3,What country is the highest GDP in the world?
s3,What country has the highest GDP in Africa?
s2,What is the temperature anomaly?
s2,What year had the highest temperature anomaly in the 1920s?
s2,What was the average temperature normally in the 1950s?
s2,What was the average temperature anomaly in the 20th century?
s2,"Which decade had a higher average temperature anomaly, the 1990s or the 1980s?"
s2,What was the global land temperature anomaly in 1880?
s1,Is the table organized ascending or descending?
s1,"So to confirm, the first entry or the first column is May 23rd, 2014?"
s1,Is that a row or column?
s1,"128596, what does that number mean?"
s1,What is the geographic source of this data?
s1,Is this data from the United States entirely or a specific region?
s1,Is this data from all of the United States?
s1,Which time period had the greatest number of sales?
s1,"How many houses were sold Auguest 28, 2015?"
s1,How many houses were sold during the period with the highest amount of houses sold?
s1,What was the least amount of houses sold?
s1,What was that most amount of houses sold?
s1,What is the average amount of houses sold?
s1,How do you define average?
s1,When was the average amount of houses sold?
s1,This table reflects how many weeks in 2015?
s1,What was the average amount of houses sold in 2015?
s1,What was the lowest amount of houses sold in 2015?
s1,What was the highest amount of houses sold in 2015?
s1,What is the median amount of houses sold in 2015?
s1,What is the mean amount of houses sold in 2015?
s1,What is the range of houses sold in 2015?
s1,How many years are reflected in this table?
s1,How many weeks are reflected in this table?
s1,How many weeks are in 2021 for this table?
s1,How many weeks are in 2020?
s1,How many weeks are in 2020 for this table?
s1,What weeks are missing from your table?
s1,How does the chart look?
s1,What is the origin of the line?
s1,What is the slope of the line?
s1,What are the coordinates of the line?
s1,Is the line on a Cartesian graph?
s1,Is the line positive or negative?
s1,What is the y-intercept of the line?
s1,Where does the line begin?
s1,What is the first data point on the line?
s1,What is the end of the line?
s1,What is the last data point on the line?
s1,How does the year 2016 look on the line?
s1,Are there any anomalies in the data?
s1,Are there any noticeable things about the data?
s1,What does the X axis represent?
s1,What does the y axis represent?
s4,What color is this map?
s4,What color is North America?
s4,What color is the United States?
s4,What is the percentage for the United States?
s4,What is the data point for Mexico?
s4,What color is Mexico?
s4,What is the range of green?
s4,Where is Mexico?
s4,What color is Europe?
s4,What percentage of Europe is a lighter shade of green?
s4,What percentage is Saudi Arabia?
s4,What color is Saudi Arabia?
s4,Where in the range of percentages does Saudi Arabia fall?
s4,What is the country with the least amount of green?
s4,What is the country with the highest green?
s4,What is the country with the highest percentage?
s4,Which country has 50%?
s4,Which country is the closest to 50%?
s4,Is there a country with 49.8%?
s4,Is there a country with 50.1%?
s4,Is there a country with 13%?
s4,Is there a country with 49.8%?
s4,How many countries are above 90%?
s4,How many countries are above 80%?
s4,How many countries are above 70%?
s4,How many countries are between 70 and 80%?
s4,How many countries are below 90%?
s4,What is it missing?
s4,How many countries are included in this table?
s4,How many countries are included in the map?
s4,What does 50% mean?
s4,What does 49.8% mean?
s4,How many countries have zero percent?
s4,What are the countries that have zero percent?
s4,What are the countries that have 100%?
s4,Name all the countries that have less than 10%.
s4,What are the countries that have less than 10%?
s4,What are the countries that are shaded a light green?
s4,What range does light green mean?
s4,What are the countries between 20% and 40%?
s4,How many countries are between 20% and 40%?
s4,How many countries are from 20% through 40%?
s4,What is the source of this data?
s4,What is the date of this data?
s4,What is the first country on the list?
s4,What is the percentage for the world?
s4,What is the first country on the map?
s4,What is the first Western most country on the map?
s4,"In Europe, which is a country that has the highest percentage?"
s2,What is the trend of this line?
s2,What is the trend of this bar chart?
s2,How is this data represented?
s2,In which format is this data represented?
s2,What is this data?
s2,What are some anomalies?
s2,What is a description of this chart?
s2,How does this chart look?
s2,Read me a description of this chart.
s2,What is the highest bar on this chart?
s2,Which years had 1.78 degrees Fahrenheit?
s2,How many years had 1.87 degrees Fahrenheit?
s2,How many years had 2.0 degrees Fahrenheit?
s2,How many years had 1.9 degrees Fahrenheit?
s2,How many years had between 1.5 and 2.1 degrees Fahrenheit?
s2,What were the years that had between 1.5 and 2.1 degrees Fahrenheit?
s2,What is the X axis?
s2,What are the intervals of the X axis?
s2,How many years in total are represented on the X axis?
s2,How many years are represented in the data?
s2,What is the y axis?
s2,What is the interval on the y axis?
s2,What year has the highest temperature?
s2,What year has the largest temperature?
s2,What is the year with the lowest temperature?
s2,The lowest temperature is in which year?
s2,What is the median?
s2,What is the mean?
s2,What is the average?
s2,What is the range?
s2,What is the range of the data and which years saw the minimum and maximum of that range?
s2,What color are the bars?
s2,What are the blue bars?
s2,How many blue bars are there?
s2,What years are represented by blue bars?
s2,What years have negative temperatures?
s2,How many years are represented by negative temperatures?
s2,What years had zero degrees?
s2,What is the trend of the chart?
s2,What can you tell me about the chart?
s2,What is the low point of the chart?
s2,What is the middle of the chart?
s3,What is this?
s3,How is this represented?
s3,What is a scatterplot?
s3,Describe a scatterplot.
s3,Describe this data.
s3,What is the trend of this data?
s3,What are the data points of this data?
s3,How does this data look?
s3,Are there different colors in this data?
s3,What color is Africa?
s3,What color is Botswana?
s3,What color is meso-America?
s3,What color is the Middle East?
s3,What color is Asia?
s3,What continent is green?
s3,What is green?
s3,What are the intervals on the x-axis?
s3,What are the points between 1000 and 5000?
s3,How does it organize them?
s3,What are the 39 countries between 1000 and 5000?
s3,What are the countries between like 4000 and 5000?
s3,What is the number for Saudi Arabia?
s3,How big is the United States?
s3,Where is the United States?
s3,What color is the United States?
s3,What is the GDP for the United States?
s3,What is the information for the United States?
s3,What is the information for Palestine?
s3,Is Palestine a country in the data?
s3,What is the information for Israel?
s3,What is the data for Palestine?
s3,What color is Palestine?
s3,Where is Palestine?
s3,What is the GDP for Palestine?
s3,What is the correlation for Palestine?
s3,What is the GDP for Israel?
s3,What are the data points for Israel?
s3,What is the difference in life expectancy between Israel and Palestine?
s3,What is the diefference between life expectancy of South America and North America?
s3,What is the life expectancy for South America?
s3,What are the data points for North America?
s3,What color is North America?
s3,What is the life expectancy of North America?
s3,What is the GDP for North America?
s3,What is the population of North America?
s3,What countries are North American?
s3,What countries are colored orange?
s3,What is orange?
s3,What is Oceania?
s3,What countries are Brown?
s3,What is the trend for Brown?
s3,What is the population of Brown?
s3,What is the population of Oceania?
s3,"What continent has the population of 29,641,284?"
s3,What countries total that number?
s3,What does red mean?
s3,What are the intervals on the y axis?
s3,What is the range of the y axis?
s3,What countries are represented for 53 years?
s3,What countries are represented for 17 years?
s3,What's the life expectancy for the United States?
s3,What's the life expectancy for North America?
s3,What's represented by 78.9 years?
s3,What is represented by 77.5 years?
s3,What is the life expectancy of North America?
s3,What is represented by 77.5 years?
s3,What color is the lower range?
s3,What does the X axis represent?
s3,What do the axes represent?
s3,What does the data represent?
s3,What is the source of the data?
s3,What year is represented in the data?
s2,How is the graph moving?
s2,what was the temperature in 1950s?
s2,what was the temperature in 1960s?
s2,1960s is in positive range?
s2,What is temperature anomaly in 2020?
s2,How is the general overview trend of the graph?
s3,What is the highest life expectancy?
s3,Which region has the highest life expectancy?
s3,What correlation does life expectancy and GDP per capita have?
s3,Which region has the lowest life expectancy?
s3,What is the GDP per Capita in that region?
s3,What is the life expectancy of Sudan?
s3,What is the life expectancy of United State and United Kingdom?
s3,Which one have the higher GDP per Capita?
s3,Does the population of the region also mean that they have higher GDP per Capita?
s3,Compared to Central America and Africa which one have higher life expectancy?
s1,Are we talking about overall country or certain region?
s1,Are we looking at the only 50 states or other territory?
s1,"In 2016, how many houses were on sale?"
s1,What is the average number of houses on sale in 2015?
s1,What were the percentage of increase or decrease in average number of houses on sale between 2015 and 2020?
s1,What were the percentage of increase or decrease in average number of houses on sale between 2015 and 2017?
s1,"Based on the graph, will the number of houses continue to fall, or will they rise?"
s1,Starting from 2015 is the graph started at the highest peak and going down until 2021?
s4,Which color represent the highest vaccination rate?
s4,Which region have the highest vaccination rate?
s4,Is United Arab Emirates represented in dark grean or light green?
s4,Which country has the lowest vaccination rate?
s4,What is the vaccination rate of United States?
s4,What is the vaccination rate of Canada?
s4,What is the vaccination rate of Saudi Arabian?
s4,What is the sources of this data?
s3,Does the graph also show the gender and age?
s3,Does the graph have the information about the race?
s3,Is there correlation between life expectancy and GDP per Capita?
s3,What region of the world have the highest life expectancy?
s3,What is the percentage of the countries that have life expectancy above 80?
s2,Why does the graph increase and decrease in the certain period?
s2,What region has the most increase or decrease in temperature wise?
s2,What was the average increase in data until now?
s4,"In America, which races are the most vaccinated?"
s4,Does the data include booster shot?
s1,What state have the most and least homes for sale?
s1,Are there more home for sale in California or Texas?
s1,What is the average increase and decrease homes for sale in overall graph?
s1,What year has the biggest incrase and decrease?
s4,What is the percentage of vaccination rate in Brazil?
s4,What is the percentage of vaccination rate in United States?
s4,How does Columbia compare to each neighbors?
s4,What is the vaccination rate of Canada?
s4,What is the vaccination rate of Mexico?
s4,What is the vaccination rate of North America?
s4,What is the vaccination rate of Columbia?
s4,What is the vaccination rate of Israel?
s4,What is the vaccination rate of Columbia?
s2,What year is the highest temperature anomaly?
s2,Which decade have the largest combined increase?
s2,Is the increase from the past years or is there any baseline?
s1,Which months has the largest decrease in homes for sale?
s1,How many homes are on sale in October 2020?
s1,How many houses were on sale in May 2021?
s1,How many homes were on sale in Jan 2020?
s1,How many homes were on sale at the end of April 2020?
s3,What is the GDP per Capita in the United States?
s3,What is the life expectancy in the United States?
s3,What is the GDP per Capita in Brazil?
s3,What is the life expectancy in Brazil?
s3,What is the GDP per Capita in Zimbabwe?
s3,What is the life expectancy in Zimbabwe?
s3,Which country has the largest GDP per Capita? and life expectancy?
s3,What is the life expectancy of Qatar?
s3,Which country has the lowest GDP per Capita?
s3,Which country has the most GDP per Capita?
s3,What is the life expectancy of Central African Republic?
s3,What is the GDP per Capita of the country with highest life expectancy?
s3,Does any country has lower life expectancy than central African Republic?
s4,"Which part of Asia has a darker shade of green, which has the most vaccinated amount of people?"
